id,nome_escola,bairro,logradouro,latitude,longitude,tipo_escola,numero_logradouro,quantidade_materiais,subprefeitura
660,NOSSA SENHORA DA POMPEIA,TODOS OS SANTOS,RUA CIRNE MAIA,-22.89203,-43.27992,EM,109,342,ZONA NORTE
373,PROFESSOR AUGUSTO PAULINO,MEIER,RUA CONEGO TOBIAS ,-22.90416,-43.28033,EM,116,44,ZONA NORTE
624,RIO GRANDE DO SUL,ENGENHO DE DENTRO,RUA ADOLFO BERGAMINI,-22.90034,-43.29594,EM,201,109,ZONA NORTE
603,ESPIRITO SANTO,CAVALCANTI,RUA HERCULANO PENA,-22.8743,-43.31472,EM,S/N,352,ZONA NORTE
025,GEORGE SUMMER,RIACHUELO,RUA ANA NERI,-22.9007,-43.25541,EM,nan,183,ZONA NORTE
180,EQUADOR,VILA ISABEL,BOULEVARD 28 DE SETEMBRO,-22.91615,-43.24705,EM,353,185,GRANDE TIJUCA
163,LAUDIMIA TROTTA,TIJUCA,RUA ANTONIO BASILIO,-22.92684,-43.23789,EM,370,576,GRANDE TIJUCA
361,PRUDENTE DE MORAES,TIJUCA,RUA ENES DE SOUSA ,-22.92906,-43.23287,EM,36,63,GRANDE TIJUCA
011,SAMUEL WEINER,TIJUCA,AV HEITOR BELTRAO,-22.92127,-43.228,CIEP,S/N,445,GRANDE TIJUCA
676,ANISIO TEIXEIRA,JARDIM GUANABARA,RUA SERENATA,-22.81244,-43.20966,EM,40,180,ILHAS
274,ABEILARD FEIJO,CACUIA,ESTRADA DA CACUIA ,-22.80769,-43.18156,EM,1386,561,ILHAS
576,CORYNTHO DA FONSECA,REALENGO,RUA URUQUE S/N.DEG,-22.85894,-43.44387,EM,nan,148,GRANDE BANGU
689,MOACIR PADILHA,PADRE MIGUEL,RUA GENERAL GOMES DE CASTRO ,-22.86877,-43.45065,EM,30,571,GRANDE BANGU
641,LAURO MULLER,PADRE MIGUEL,RUA ROSA DE ALMEIDA,-22.88207,-43.44644,EM,113,269,GRANDE BANGU
477,PAULO MARANHAO,REALENGO,RUA DO GOVERNO ,-22.89299,-43.44122,EM,866,187,GRANDE BANGU
398,LEONARDO DA VINCI,BANGU,RUA RENATO REBECCHI S/N.DEG,-22.89253,-43.47295,EM,nan,315,GRANDE BANGU
175,NACOES UNIDAS,BANGU,RUA DOS LIMADORES S/NDEG,-22.88815,-43.47629,EM,nan,435,GRANDE BANGU
586,ANTONIO EVARISTO DE MORAES,SENADOR CAMARA,AVENIDA DE SANTA CRUZ S/NDEG,-22.88179,-43.48733,CIEP,nan,194,GRANDE BANGU
080,JOSE MAURO DE VASCONCELOS,BANGU,RUA MARLIERIA ,-22.85044,-43.46686,EM,S/N,599,GRANDE BANGU
534,CORA CORALINA,CAMPO GRANDE,RUA VOTORANTIM S/N KM 10 MENDANHA,-22.85878,-43.53705,EM,nan,157,ZONA OESTE
379,NELSON MANDELA,CAMPO GRANDE,PRACA DANIEL LAMES,-22.89558,-43.57051,CIEP,S/N,109,ZONA OESTE
616,PROFESSOR DARCI RIBEIRO,CAMPO GRANDE,RUA CONCHAS,-22.8873,-43.58736,CIEP,S/N,372,ZONA OESTE
342,FERNANDO COSTA,CAMPO GRANDE,RUA JOSE ALBANO,-22.89036,-43.59399,EM,S/N,296,ZONA OESTE
052,PROFESSOR PAULO SILVA,INHOAIBA,RUA JAIRO CORREA ,-22.90859,-43.58474,EM,S/N,330,ZONA OESTE
399,CLEMENTINA DE JESUS,CAMPO GRANDE,AVENIDA ALHAMBRA ,-22.92529,-43.56665,CIEP,S/N,71,ZONA OESTE
255,FRANCISCO CAVALCANTE PONTES DE MIRANDA,SENADOR VASCONCELOS,ESTRADA MORICABA ,-22.92529,-43.56665,CIEP,S/N,591,ZONA OESTE
139,JESUS SOARES PEREIRA,CAMPO GRANDE,RUA CONSOLACAO ,-22.91959,-43.54684,EM,138,316,ZONA OESTE
144,ALFREDO CESARIO ALVIM,CAMPO GRANDE,"RUA RIO DA PRATA, R. LUISA MARILAC",-22.92315,-43.51877,EM,20,99,ZONA OESTE
301,JONATAS SERRANO,GUARATIBA,ESTRADA DO MATO ALTO,-22.95316,-43.57741,EM,S/N,335,ZONA OESTE
606,PROFESSOR CASTILHO,ILHA DE GUARATIBA,CAMINHO DA MATRIZ ,-22.99412,-43.59368,EM,4406,521,ZONA OESTE
210,DEBORA MENDES DE MORAES,PEDRA DE GUARATIBA,RUA BELCHIOR DA FONSECA ,-23.00142,-43.63876,EM,643,570,ZONA OESTE
474,ENGENHEIRO GASTAO RANGEL,GUARATIBA,ESTRADA DO MAGARCA ,-22.98046,-43.64355,EM,9183,320,ZONA OESTE
515,HILDEBRANDO DE ARAUJO GOES,PEDRA DE GUARATIBA,ESTRADA DA PEDRA,-22.97451,-43.64817,CIEP,S/N,341,ZONA OESTE
289,BERTHA LUTZ,GUARATIBA,ESTRADA DO PIAI ,-22.97906,-43.67058,EM,2075,329,ZONA OESTE
584,NELSON ROMERO,SEPETIBA,RUA JOSE BALDINO ,-22.97174,-43.69735,EM,S/N,342,ZONA OESTE
246,FERNANDO AZEVEDO,SANTA CRUZ,RUA DAS PALMEIRAS IMPERIAIS ,-22.92307,-43.69233,EM,S/N,459,ZONA OESTE
560,ANDRE VIDAL DE NEGREIROS,SANTA CRUZ,RUA FELIPE CARDOSO ,-22.92139,-43.68058,EM,750,308,ZONA OESTE
311,PESTALOZZI,SANTA CRUZ,RUA SEVERIANO DAS CHAGAS ,-22.91572,-43.67975,EM,S/N,162,ZONA OESTE
316,PROFESSORA FLAVIA DOS SANTOS SOARES,PACIENCIA,RUA EUDALDO GOMES DA SILVA S/N.O CONJ URUCANIA,-22.91403,-43.65344,EM,nan,579,ZONA OESTE
297,PROFESSORA SILVIA DE ARAUJO TOLEDO,SANTA CRUZ,AVENIDA CANAL 3 S/N.O CONJ. CESARAO,-22.93011,-43.6529,EM,nan,' ',ZONA OESTE
323,ISMAEL NERY,SANTA CRUZ,AVENIDA CESARIO DE MELO S/NDEG,-22.93416,-43.66213,CIEP,nan,106,ZONA OESTE
319,MARECHAL PEDRO CAVALCANTI,PACIENCIA,RUA PORTO FIRME ,-22.92485,-43.63289,EM,S/N,537,ZONA OESTE
320,PRESIDENTE ANTONIO CARLOS,COSMOS,RUA PEQUIA,-22.91097,-43.61605,COLEGIO,97,479,ZONA OESTE
573,MAJOR MANUEL GOMES ARCHER,PACIENCIA,RUA CABO SAULO DE VASCONCELOS ,-22.88855,-43.63805,CIEP,S/N,207,ZONA OESTE
497,PROFESSORA LEILA MEHL MENEZES DE MATTOS,PACIENCIA,AVENIDA MARIO PEREIRA DOS SANTOS ,-22.87319,-43.62773,EM,S/N,517,ZONA OESTE
215,NARCISA AMALIA,ILHA DE GUARATIBA,ESTRADA TEODORETO DE CAMARGO ,-23.00908,-43.53758,EM,S/N,,ZONA OESTE
202,PROFESSOR TEOFILO MOREIRA DA COSTA,VARGEM GRANDE,RUA ESPERANCA ,-22.98173,-43.49164,EM,387,121,BARRA DA TIJUCA
690,FINLANDIA,CAMORIM,RUA IGARAPE-ACU,-22.97199,-43.41011,EM,nan,94,BARRA DA TIJUCA
